,model,test_accuracy,outcome,fit_time,score_time,test_precision,test_recall,test_f1,test_roc_auc
79,adaboost_feature_selection5,0.8651006711409396,Outcome,0.0908045768737793,0.01340031623840332,0.2,0.004878048780487805,0.009523809523809523,0.7800934488509667
80,adaboost_feature_selection5_oversample,0.7181208053691275,Outcome,0.5266050338745117,0.014101791381835937,0.27735691244849436,0.6739024390243903,0.39243858997505626,0.7556274199516947
81,adaboost_feature_selection10,0.8724832214765101,Outcome,0.08540196418762207,0.011597967147827149,0.5973109243697479,0.2176829268292683,0.30877202503853474,0.8033767204969127
82,adaboost_feature_selection10_oversample,0.7174496644295301,Outcome,0.5088647365570068,0.013790464401245118,0.27729090952620367,0.6740243902439024,0.39251974763425146,0.7684320901687888
83,adaboost_feature_selection15,0.8738255033557045,Outcome,0.08702497482299805,0.012907886505126953,0.5978221778221778,0.24256097560975606,0.33436408071960577,0.8065418214369006
84,adaboost_feature_selection15_oversample,0.7651006711409396,Outcome,0.4878541946411133,0.013515329360961914,0.3012740006188059,0.5543902439024391,0.38973049494788625,0.7722655998831728
85,adaboost_feature_selection20,0.8711409395973154,Outcome,0.09859509468078613,0.012800216674804688,0.5676190476190476,0.24743902439024387,0.33484848484848484,0.8057782248304793
86,adaboost_feature_selection20_oversample,0.7671140939597316,Outcome,0.5184733390808105,0.013786554336547852,0.3042056277056277,0.5496341463414633,0.39028170584047606,0.7755718819913293
87,adaboost_feature_selection25,0.8724832214765101,Outcome,0.10288286209106445,0.014436578750610352,0.5695054945054945,0.2274390243902439,0.3169728195937873,0.8076980498030932
88,adaboost_feature_selection25_oversample,0.7677852348993289,Outcome,0.5237731456756591,0.013124656677246094,0.31186438030984504,0.5839024390243903,0.40553258940202125,0.7765345611220116
89,adaboost_feature_selection30,0.8731543624161073,Outcome,0.09675922393798828,0.013716840744018554,0.5845453097627009,0.2125609756097561,0.30022975626691617,0.8051200623421491
90,adaboost_feature_selection30_oversample,0.7704697986577181,Outcome,0.5323193550109864,0.013242673873901368,0.3153364012784968,0.5889024390243903,0.4098402045481929,0.7769933569268278
91,gb_feature_selection5,0.8644295302013424,Outcome,0.1212693691253662,0.012399244308471679,0.0,0.0,0.0,0.7979661250903975
92,gb_feature_selection5_oversample,0.7261744966442952,Outcome,0.5112472534179687,0.00989532470703125,0.28367956728430455,0.673780487804878,0.3986656837901027,0.7542842856070855
93,gb_feature_selection10,0.8644295302013424,Outcome,0.12404508590698242,0.011735963821411132,0.0,0.0,0.0,0.8022463000442148
94,gb_feature_selection10_oversample,0.7348993288590604,Outcome,0.5524270057678222,0.011246585845947265,0.2890280289062917,0.6390243902439025,0.39712022801185876,0.7721901183573866
95,gb_feature_selection15,0.8644295302013424,Outcome,0.1187528133392334,0.010954332351684571,0.0,0.0,0.0,0.8051105066826164
96,gb_feature_selection15_oversample,0.7684563758389261,Outcome,0.5392561435699463,0.010981512069702149,0.3180770895770896,0.6089024390243902,0.4168799778613591,0.7686473559763196
97,gb_feature_selection20,0.8644295302013424,Outcome,0.149273681640625,0.013796758651733399,0.0,0.0,0.0,0.8054640219440833
98,gb_feature_selection20_oversample,0.7617449664429531,Outcome,0.5722462177276612,0.012099027633666992,0.310670724624213,0.604390243902439,0.4091560400482046,0.7729497468499705
99,gb_feature_selection25,0.8644295302013424,Outcome,0.13966817855834962,0.011401748657226563,0.0,0.0,0.0,0.8032770927915142
100,gb_feature_selection25_oversample,0.7718120805369126,Outcome,0.617193078994751,0.011160182952880859,0.32494022665166944,0.6192682926829269,0.42524379375038857,0.7841586228447118
101,gb_feature_selection30,0.8644295302013424,Outcome,0.13595151901245117,0.013162565231323243,0.0,0.0,0.0,0.8059123102938115
102,gb_feature_selection30_oversample,0.7610738255033558,Outcome,0.6180203914642334,0.012020587921142578,0.310035301535029,0.5995121951219512,0.40691535916337085,0.7778571302453591
103,logistic_feature_selection5,0.8651006711409396,Outcome,3.3903008460998536,0.009772062301635742,0.6076190476190476,0.15804878048780488,0.23713329141312367,0.8041130663229537
104,logistic_feature_selection10,0.8691275167785235,Outcome,6.747294139862061,0.01060333251953125,0.5491892911010557,0.20243902439024392,0.2922898528839671,0.8149842765213464
105,logistic_feature_selection15,0.8704697986577182,Outcome,9.374508047103882,0.009603404998779297,0.5428571428571429,0.22219512195121954,0.3107900725083224,0.8160962882364322
106,logistic_feature_selection20,0.8664429530201343,Outcome,11.936109924316407,0.010439586639404298,0.5126383399209486,0.23231707317073172,0.31561956804579755,0.816541756144645
107,logistic_feature_selection25,0.8677852348993289,Outcome,13.531287336349488,0.011472368240356445,0.5280018227386648,0.22243902439024388,0.3103792629930346,0.8131151155801668
108,logistic_feature_selection30,0.8684563758389261,Outcome,16.480179500579833,0.01148219108581543,0.5380701754385966,0.21756097560975612,0.3069273857854977,0.8104614507166698
